1;1.1.21;categorica exclusiva;Var0050;q1_p4_r9;q1_p4_r10;Atualmente estuda?;Relacionado na coluna C
1;1.1.22;Textual;Var0051;q1_p5_r1;;Nome;Relacionado na coluna C
1;1.1.23;categorica exclusiva;Var0052;q1_p5_r2;q1_p5_r3;Sexo;Relacionado na coluna C
1;1.1.24;Numerica;Var0053;q1_p5_r4;;Idade;Relacionado na coluna C
1;1.1.25;categorica exclusiva;Var0054;q1_p5_r5;;Parentesco;Relacionado na coluna C
1;1.1.26;Categorica variada;Var0055;q1_p5_r6;q1_p5_r7;Ja frequentou a escola?;Relacionado na coluna C
1;1.1.27;Textual-Numerica;Var0056;q1_p5_r8;;Ate que ano?;Relacionado na coluna C
1;1.1.28;categorica exclusiva;Var0057;q1_p5_r9;q1_p5_r10;Atualmente estuda?;Relacionado na coluna C
1;1.1.29;Textual;Var0058;q1_p6_r1;;Nome;Relacionado na coluna C
1;1.1.30;categorica exclusiva;Var0059;q1_p6_r2;q1_p6_r3;Sexo;Relacionado na coluna C
1;1.1.31;Numerica;Var0060;q1_p6_r4;;Idade;Relacionado na coluna C
1;1.1.32;categorica exclusiva;Var0061;q1_p6_r5;;Parentesco;Relacionado na coluna C
1;1.1.33;Categorica variada;Var0062;q1_p6_r6;q1_p6_r7;Ja frequentou a escola?;Relacionado na coluna C
1;1.1.34;Textual-Numerica;Var0063;q1_p6_r8;;Ate que ano?;Relacionado na coluna C
1;1.1.35;categorica exclusiva;Var0064;q1_p6_r9;q1_p6_r10;Atualmente estuda?;Relacionado na coluna C
1;1.1.36;Textual;Var0065;q1_p7_r1;;Nome;Relacionado na coluna C
1;1.1.37;categorica exclusiva;Var0066;q1_p7_r2;q1_p7_r3;Sexo;Relacionado na coluna C
1;1.1.38;Numerica;Var0067;q1_p7_r4;;Idade;Relacionado na coluna C
1;1.1.39;categorica exclusiva;Var0068;q1_p7_r5;;Parentesco;Relacionado na coluna C
1;1.1.40;Categorica variada;Var0069;q1_p7_r6;q1_p7_r7;Ja frequentou a escola?;Relacionado na coluna C
1;1.1.41;Textual-Numerica;Var0070;q1_p7_r8;;Ate que ano?;Relacionado na coluna C
1;1.1.42;categorica exclusiva;Var0071;q1_p7_r9;q1_p7_r10;Atualmente estuda?;Relacionado na coluna C
1;1.1.43;Textual;Var0072;q1_p8_r1;;Nome;Relacionado na coluna C
1;1.1.44;categorica exclusiva;Var0073;q1_p8_r2;q1_p8_r3;Sexo;Relacionado na coluna C
1;1.1.45;Numerica;Var0074;q1_p8_r4;;Idade;Relacionado na coluna C
1;1.1.46;categorica exclusiva;Var0075;q1_p8_r5;;Parentesco;Relacionado na coluna C
1;1.1.47;Categorica variada;Var0076;q1_p8_r6;q1_p8_r7;Ja frequentou a escola?;Relacionado na coluna C
1;1.1.48;Textual-Numerica;Var0077;q1_p8_r8;;Ate que ano?;Relacionado na coluna C
1;1.1.49;categorica exclusiva;Var0078;q1_p8_r9;q1_p8_r10;Atualmente estuda?;Relacionado na coluna C
1;1.1.50;Textual;Var0079;q1_p9_r1;;Nome;Relacionado na coluna C
1;1.1.51;categorica exclusiva;Var0080;q1_p9_r2;q1_p9_r3;Sexo;Relacionado na coluna C
1;1.1.52;Numerica;Var0081;q1_p9_r4;;Idade;Relacionado na coluna C
1;1.1.53;categorica exclusiva;Var0082;q1_p9_r5;;Parentesco;Relacionado na coluna C
1;1.1.54;Categorica variada;Var0083;q1_p9_r6;q1_p9_r7;Ja frequentou a escola?;Relacionado na coluna C
1;1.1.55;Textual-Numerica;Var0084;q1_p9_r8;;Ate que ano?;Relacionado na coluna C
1;1.1.56;categorica exclusiva;Var0085;q1_p9_r9;q1_p9_r10;Atualmente estuda?;Relacionado na coluna C
1;1.1.57;Textual;Var0086;q1_p10_r1;;Nome;Relacionado na coluna C
1;1.1.58;categorica exclusiva;Var0087;q1_p10_r2;q1_p10_r3;Sexo;Relacionado na coluna C
1;1.1.59;Numerica;Var0088;q1_p10_r4;;Idade;Relacionado na coluna C
1;1.1.60;categorica exclusiva;Var0089;q1_p10_r5;;Parentesco;Relacionado na coluna C
1;1.1.61;Categorica variada;Var0090;q1_p10_r6;q1_p10_r7;Ja frequentou a escola?;Relacionado na coluna C
1;1.1.62;Textual-Numerica;Var0091;q1_p10_r8;;Ate que ano?;Relacionado na coluna C
1;1.1.63;categorica exclusiva;Var0092;q1_p10_r9;q1_p10_r10;Atualmente estuda?;Relacionado na coluna C
1;1.1.64;Textual;Var0093;q1_p11_r1;;Nome;Relacionado na coluna C
1;1.1.65;categorica exclusiva;Var0094;q1_p11_r2;q1_p11_r3;Sexo;Relacionado na coluna C
1;1.1.66;Numerica;Var0095;q1_p11_r4;;Idade;Relacionado na coluna C
1;1.1.67;categorica exclusiva;Var0096;q1_p11_r5;;Parentesco;Relacionado na coluna C
1;1.1.68;Categorica variada;Var0097;q1_p11_r6;q1_p11_r7;Ja frequentou a escola?;Relacionado na coluna C
