1;1.1.5x1;Textual-numerica;Var0057;q1_p6_r1;;Identificaç‹o (primeiro nome)
1;1.1.5x2;Categorica exclusiva;Var0058;q1_p6_r2;;Sexo: _ M _ F
1;1.1.5x3;Numerica;Var0059;q1_p6_r4;;Idade
1;1.1.5x4;Textual-numerica;Var0060;q1_p6_r5;;Parentesco
1;1.1.5x5;Categorica exclusiva;Var0061;q1_p6_r6;;Ja frequentou a escola? _ Sim _ N‹o
1;1.1.5x6;Numerica;Var0062;q1_p6_r8;;At_ que ano?
1;1.1.5x7;Categorica exclusiva;Var0063;q1_p6_r9;;Atualmente estuda? _ Sim _ N‹o
1;1.1.6x1;Textual-numerica;Var0064;q1_p7_r1;;Identificaç‹o (primeiro nome)
1;1.1.6x2;Categorica exclusiva;Var0065;q1_p7_r2;;Sexo: _ M _ F
1;1.1.6x3;Numerica;Var0066;q1_p7_r4;;Idade
1;1.1.6x4;Textual-numerica;Var0067;q1_p7_r5;;Parentesco
1;1.1.6x5;Categorica exclusiva;Var0068;q1_p7_r6;;Ja frequentou a escola? _ Sim _ N‹o
1;1.1.6x6;Numerica;Var0069;q1_p7_r8;;At_ que ano?
1;1.1.6x7;Categorica exclusiva;Var0070;q1_p7_r9;;Atualmente estuda? _ Sim _ N‹o
1;1.1.7x1;Textual-numerica;Var0071;q1_p8_r1;;Identificaç‹o (primeiro nome)
1;1.1.7x2;Categorica exclusiva;Var0072;q1_p8_r2;;Sexo: _ M _ F
1;1.1.7x3;Numerica;Var0073;q1_p8_r4;;Idade
1;1.1.7x4;Textual-numerica;Var0074;q1_p8_r5;;Parentesco
1;1.1.7x5;Categorica exclusiva;Var0075;q1_p8_r6;;Ja frequentou a escola? _ Sim _ N‹o
1;1.1.7x6;Numerica;Var0076;q1_p8_r8;;At_ que ano?
1;1.1.7x7;Categorica exclusiva;Var0077;q1_p8_r9;;Atualmente estuda? _ Sim _ N‹o
1;1.1.8x1;Textual-numerica;Var0078;q1_p9_r1;;Identificaç‹o (primeiro nome)
1;1.1.8x2;Categorica exclusiva;Var0079;q1_p9_r2;;Sexo: _ M _ F
1;1.1.8x3;Numerica;Var0080;q1_p9_r4;;Idade
1;1.1.8x4;Textual-numerica;Var0081;q1_p9_r5;;Parentesco
1;1.1.8x5;Categorica exclusiva;Var0082;q1_p9_r6;;Ja frequentou a escola? _ Sim _ N‹o
1;1.1.8x6;Numerica;Var0083;q1_p9_r8;;At_ que ano?
1;1.1.8x7;Categorica exclusiva;Var0084;q1_p9_r9;;Atualmente estuda? _ Sim _ N‹o
1;1.1.9x1;Textual-numerica;Var0085;q1_p10_r1;;Identificaç‹o (primeiro nome)
1;1.1.9x2;Categorica exclusiva;Var0086;q1_p10_r2;;Sexo: _ M _ F
1;1.1.9x3;Numerica;Var0087;q1_p10_r4;;Idade
1;1.1.9x4;Textual-numerica;Var0088;q1_p10_r5;;Parentesco
1;1.1.9x5;Categorica exclusiva;Var0089;q1_p10_r6;;Ja frequentou a escola? _ Sim _ N‹o
1;1.1.9x6;Numerica;Var0090;q1_p10_r8;;At_ que ano?
1;1.1.9x7;Categorica exclusiva;Var0091;q1_p10_r9;;Atualmente estuda? _ Sim _ N‹o
1;1.1.10x1;Textual-numerica;Var0092;q1_p11_r1;;Identificaç‹o (primeiro nome)
1;1.1.10x2;Categorica exclusiva;Var0093;q1_p11_r2;;Sexo: _ M _ F
1;1.1.10x3;Numerica;Var0094;q1_p11_r4;;Idade
1;1.1.10x4;Textual-numerica;Var0095;q1_p11_r5;;Parentesco
1;1.1.10x5;Categorica exclusiva;Var0096;q1_p11_r6;;Ja frequentou a escola? _ Sim _ N‹o
1;1.1.10x6;Numerica;Var0097;q1_p11_r8;;At_ que ano?
